call_sign,channel,frequency_mhz,service_type,status,city,state,country,facility_id,erp_kw,haat_m,latitude,longitude,licensee
KVNG,216,91.1,FM,LIC,ELOY,AZ,US,175820,0.74,827.0,32.718667,-111.400667,UNKNOWN
K216FO,216,91.1,FX,LIC,GUADALUPE,AZ,US,92402,0.075,0.0,33.450889,-112.072917,"WORLD RADIO NETWORK, INC."
KNLB,216,91.1,FM,AMD,LAKE HAVASU CITY,AZ,US,48504,1.7,817.0,-282127.400472,-114.194,"48504            1.7 kW DA     817. m   1438. m        m   N 34 33   2.7  W 114 11  38.4             ADVANCE MINISTRIES, INC."
KNLB,216,91.1,FM,LIC,LAKE HAVASU CITY,AZ,US,48504,8.0,138.0,34.486111,-114.219111,UNKNOWN
K216GI,216,91.1,FX,LIC,NOGALES,AZ,US,3392,0.05,0.0,31.338139,-110.953139,UNKNOWN
KYAY,216,91.1,FM,LIC,SAN CARLOS,AZ,US,172840,1.9,0.0,33.575028,-110.378972,UNKNOWN
K216GP,216,91.1,FX,LIC,WICKENBURG,AZ,US,142837,0.25,0.0,33.965583,-112.751278,UNKNOWN
K216EM,216,91.1,FX,LIC,ARCADIA,CA,US,88940,0.099,0.0,-114873.333361,-118.062306,"88940          0.099 kW DA       0. m  1668.5 m        m   N 34 12  47.9  W 118  3  44.3  1213941    K-LOVE, INC."
K216AG,216,91.1,FX,LIC,CAYUCOS,CA,US,33700,0.038,0.0,35.446083,-120.881556,UNKNOWN
KHEC,216,91.1,FM,LIC,CRESCENT CITY,CA,US,176094,0.125,54.0,41.757056,-124.201722,UNKNOWN
KLVY,216,91.1,FM,LIC,FAIRMEAD,CA,US,18854,39.0,170.0,37.127722,-119.678472,UNKNOWN
KLVY,216,91.1,FM,LIC,FAIRMEAD,CA,US,18854,0.18,141.0,37.127722,-119.678472,UNKNOWN
K216BD,216,91.1,FX,LIC,UNKNOWN,XX,US,63010,0.295,741.0,41.737056,-122.777806,UNKNOWN
KMUD,216,91.1,FM,LIC,GARBERVILLE,CA,US,55426,9.0,784.0,40.120139,-123.693083,UNKNOWN
KEDR,216,91.1,FM,LIC,GLENHAVEN,CA,US,766076,0.1,1.0,-253456.933361,-122.766944,"766076           0.1 kW DA       1. m    604. m        m   N 39  2  34.6  W 122 46     1             ONE MINISTRIES, INC."
K216AX,216,91.1,FX,LIC,LAUREL,CA,US,71971,0.01,305.0,37.061889,-122.121611,UNKNOWN
KDEZ,216,91.1,FM,LIC,NORTH SHORE,CA,US,768411,0.1,0.0,-286854.850028,-115.933222,"768411           0.1 kW       -126. m    -35. m        m   N 33 31  38.8  W 115 55  59.6             VOICE OF THE SALTON SEA, INC."
KROV,216,91.1,FM,LIC,OROVILLE,CA,US,173181,0.225,378.0,39.504861,-121.310778,UNKNOWN
KKLP,216,91.1,FM,MOD,PERRIS,CA,US,175839,2.0,225.0,-279720.650556,-116.969472,"175839            2. kW DA     225. m   1508. m        m   N 34 02  13.0  W 116 58  10.1             K-LOVE, INC."
KKLP,216,91.1,FM,LIC,PERRIS,CA,US,175839,0.285,464.0,-161894.650079,-116.953917,"175839         0.285 kW DA     464. m   1161. m        m   N 33 49  49.1  W 116 57  14.1  1202397    K-LOVE, INC."
K220EY,216,91.1,FX,MOD,PORTERVILLE,CA,US,20760,0.01,771.0,-220611.000003,-118.840222,"20760           0.01 kW DA     771. m   1742. m        m   N 36 17   8.3  W 118 50  24.8             LOAM MEDIA, INC."
K216FA,216,91.1,FX,LIC,QUARTZ HILL,CA,US,93062,0.01,0.0,-144425.033336,-118.216667,93062           0.01 kW DA    622.8 m   1593. m        m   N 34 32  51.0  W 118 13   0.0             CSN INTERNATIONAL
KCSM,216,91.1,FM,LIC,SAN MATEO,CA,US,58913,11.0,0.0,37.5355,-122.334389,UNKNOWN
KCSM,216,91.1,FM,LIC,SAN MATEO,CA,US,58913,8.9,0.0,37.5355,-122.334361,UNKNOWN
K216FQ,216,91.1,FX,LIC,SANTA MARIA,CA,US,71984,0.01,0.0,-245464.733336,-120.402139,71984           0.01 kW DA    228.4 m    413. m        m   N 34 50   7.3  W 120 24   7.7             CSN INTERNATIONAL
KRCG-FM,216,91.1,FM,LIC,SANTA ROSA,CA,US,57946,0.12,223.0,38.740167,-122.847194,UNKNOWN
KDSC,216,91.1,FM,LIC,THOUSAND OAKS,CA,US,69116,4.8,390.0,34.413028,-119.187028,UNKNOWN
K216CX,216,91.1,FX,LIC,YUCCA VALLEY,CA,US,8425,0.056,51.0,34.115278,-116.491667,UNKNOWN
K216BF,216,91.1,FX,LIC,ASPEN,CO,US,52692,0.019,258.0,39.221083,-106.813639,UNKNOWN
K216ES,216,91.1,FX,LIC,CARDIFF,CO,US,88582,0.014,-22.0,39.53275,-107.342278,"EDUCATIONAL COMMUNICATIONS OF COLORADO SPRINGS, INC."
KCGX,216,91.1,FM,LIC,CRAIG,CO,US,767297,0.1,283.0,-271739.283361,-107.611667,767297           0.1 kW        283. m   2297. m        m   N 40 33  55.6  W 107 36  42.0             SAN TAN EDUCATIONAL MEDIA
K216DA,216,91.1,FX,LIC,DOLORES,CO,US,58853,0.09,0.0,37.325528,-108.249222,UNKNOWN
K216EF,216,91.1,FX,LIC,FLORENCE,CO,US,91774,0.1,-90.0,38.422222,-105.151944,"CHEYENNE MOUNTAIN PUBLIC BROADCAST HOUSE, INC"
KWSB-FM,216,91.1,FM,LIC,GUNNISON,CO,US,71962,0.135,91.0,38.52275,-106.908361,UNKNOWN
K216BP,216,91.1,FX,LIC,MEEKER,CO,US,53744,0.021,202.0,40.043028,-107.934222,UNKNOWN
KLDV,216,91.1,FM,LIC,MORRISON,CO,US,12354,100.0,356.0,39.599972,-105.21025,UNKNOWN
KLDV,216,91.1,FM,STA,MORRISON,CO,US,12354,100.0,356.0,-272044.927778,-105.21025,"12354           100. kW        356. m   2448. m        m   N 39 35  59.9  W 105 12  36.9             K-LOVE, INC."
KLDV,216,91.1,FM,LIC,MORRISON,CO,US,12354,4.5,333.0,39.599972,-105.209972,UNKNOWN
K216BO,216,91.1,FX,LIC,RANGELY,CO,US,53810,0.023,193.0,40.159944,-108.987333,UNKNOWN
K216GF,216,91.1,FX,LIC,SILVERTON,CO,US,53816,0.045,0.0,37.813583,-107.665611,UNKNOWN
K216FW,216,91.1,FX,LIC,STEAMBOAT SPRINGS,CO,US,82392,0.01,0.0,40.454417,-106.743361,UNKNOWN
WSHU-FM,216,91.1,FM,LIC,FAIRFIELD,CT,US,58515,20.0,0.0,41.278972,-73.185111,"SACRED HEART UNIVERSITY, INC."
WDDE,216,91.1,FM,LIC,DOVER,DE,US,175387,2.1,72.0,39.013889,-75.507778,DELAWARE PUBLIC MEDIA CORPORATION
WDDE,216,91.1,FM,MOD,DOVER,DE,US,175387,6.0,117.0,-274751.118333,-75.553611,175387            6. kW DA     117. m    129. m        m   N 38 59   1.0  W  75 33  13.0  1060162    DELAWARE PUBLIC MEDIA CORPORATION
WQCP,216,91.1,FM,LIC,FORT PIERCE,FL,US,5488,85.0,140.0,27.435583,-80.361167,INDIAN RIVER STATE COLLEGE
WPSM,216,91.1,FM,LIC,FORT WALTON BEACH,FL,US,22811,14.0,98.0,-186155.187222,-86.623222,22811            14. kW DA      98. m    108. m        m   N 30 24  35.9  W  86 37  23.6  1228891    DESTINY WORSHIP CENTER INC.
WKES,216,91.1,FM,LIC,LAKELAND,FL,US,19871,100.0,128.0,28.079722,-82.040639,UNKNOWN
WKES,216,91.1,FL,LIC,LAKELAND,FL,US,19871,100.0,99.0,28.07975,-82.040639,THE MOODY BIBLE INSTITUTE OF CHICAGO
WHMF,216,91.1,FM,LIC,MARIANNA,FL,US,173595,1.3,39.0,30.751,-85.188528,UNKNOWN
WHYZ,216,91.1,FM,LIC,PALM COAST,FL,US,92508,9.2,0.0,29.435806,-81.155611,UNKNOWN
WHYZ,216,91.1,FL,LIC,PALM COAST,FL,US,92508,4.0,0.0,29.435806,-81.155611,"CENTRAL FLORIDA EDUCATIONAL FOUNDATION, INC."
W216BT,216,91.1,FX,LIC,PORT ST. JOE,FL,US,122677,0.08,0.0,-229926.616689,-85.298083,122677          0.08 kW        49.4 m    50.4 m        m   N 29 48  22.6  W  85 17  53.1             FLORIDA STATE UNIVERSITY
WUJC,216,91.1,FM,LIC,ST. MARKS,FL,US,122209,74.0,0.0,30.515472,-83.871278,CSN INTERNATIONAL
WREK,216,91.1,FM,LIC,ATLANTA,GA,US,54536,100.0,0.0,33.778167,-84.406028,"RADIO COMMUNICATIONS BOARD, GEORGIA INSTITUTE OF TECHNOLOGY"
WJEP,216,91.1,FM,LIC,CUSSETA,GA,US,177011,1.65,134.0,32.136278,-84.689917,HOPE MEDIA GROUP
W215BM,216,91.1,FX,MOD,DUBLIN,GA,US,93572,0.013,0.0,-287308.533337,-82.923056,"93572          0.013 kW DA     104. m   182.9 m        m   N 32 31  26.4  W  82 55  23.0  1019537    FAMILY WORSHIP CENTER CHURCH, INC."
W215CF,216,91.1,FX,MOD,MILLEDGEVILLE,GA,US,78733,25.0,0.0,-282748.216736,-83.218889,"78733            .25 kW          0. m    130. m        m   N 33  6  50.0  W  83 13   8.0  1292800    CSN INTERNATIONAL, INC."
WSVH,216,91.1,FM,LIC,SAVANNAH,GA,US,23926,96.0,0.0,32.146861,-81.617889,GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION
WSVH,216,91.1,FM,LIC,SAVANNAH,GA,US,23926,9.0,60.0,32.090472,-81.146222,GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION
WABR,216,91.1,FM,LIC,TIFTON,GA,US,23925,30.0,76.0,-244024.758333,-83.530028,23925            30. kW DA      76. m    173. m        m   N 31 29  30.6  W  83 31  48.1  1018784    GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION
K216FI,216,91.1,FX,LIC,ONOLULU,HI,US,77051,0.1,0.0,21.275167,-157.821972,UNKNOWN
KLHY,216,91.1,FM,LIC,KAILUA,HI,US,767285,0.7,913.0,-223864.083528,-155.916389,"767285           0.7 kW        913. m   1702. m        m   N 19 43    17  W 155 54    59             K-LOVE, INC."
K216GX,216,91.1,FX,LIC,LANAI CITY,HI,US,122260,0.01,0.0,-273986.666669,-156.898194,"122260          0.01 kW        842. m   692.4 m        m   N 20 50  29.8  W 156 53  53.5             CSN INTERNATIONAL, INC."
K216GH,216,91.1,FX,LIC,WAIALUA,HI,US,6905,0.095,0.0,21.510444,-158.145556,UNKNOWN
KNSB,216,91.1,FM,LIC,BETTENDORF,IA,US,83540,1.1,0.0,41.545528,-90.373361,"IOWA PUBLIC RADIO, INC."
KNSK,216,91.1,FM,LIC,FORT DODGE,IA,US,29066,100.0,326.0,42.817472,-94.411639,"IOWA PUBLIC RADIO, INC."
KICW,216,91.1,FM,LIC,OTTUMWA,IA,US,83086,1.7,137.0,40.961417,-92.370472,"IOWA PUBLIC RADIO, INC."
KISU-FM,216,91.1,FM,LIC,POCATELLO,ID,US,85417,5.0,307.0,42.862694,-112.518306,IDAHO STATE UNIVERSITY
KBSS,216,91.1,FM,LIC,SUN VALLEY,ID,US,87408,0.75,570.0,-221276.800208,-114.398028,87408           0.75 kW        570. m   2645. m        m   N 43 38  36.2  W 114 23  52.9             IDAHO STATE BOARD OF EDUCATION
KBSS,216,91.1,FM,STA,SUN VALLEY,ID,US,87408,0.75,570.0,-269474.800208,-114.398028,87408           0.75 kW        570. m   2645. m        m   N 43 38  36.2  W 114 23  52.9             IDAHO STATE BOARD OF EDUCATION
KBSS,216,91.1,FM,LIC,SUN VALLEY,ID,US,87408,0.225,570.0,-268283.800062,-114.398028,87408          0.225 kW        570. m   2645. m        m   N 43 38  36.2  W 114 23  52.9             IDAHO STATE BOARD OF EDUCATION
WDBX,216,91.1,FM,LIC,CARBONDALE,IL,US,27099,3.0,40.0,37.728639,-89.215917,UNKNOWN
WIBI,216,91.1,FM,LIC,CARLINVILLE,IL,US,28289,50.0,145.0,-270355.497222,-89.804722,28289            50. kW DA     145. m    338. m        m   N 39 20  55.1  W  89 48  17.0  1042535    UNIVERSITY OF NORTHWESTERN - ST. PAUL
W216CL,216,91.1,FX,LIC,CHICAGO,IL,US,91647,0.05,0.0,41.898917,-87.623111,CHICAGO PUBLIC MEDIA INC
WBEK,216,91.1,FM,LIC,KANKAKEE,IL,US,33327,2.6,0.0,41.160833,-87.875,"CHICAGO PUBLIC MEDIA, INC."
WILV,216,91.1,FM,LIC,LOVES PARK,IL,US,11064,7.0,161.0,42.32225,-89.0115,"K-LOVE, INC."
WLPU,216,91.1,FM,LIC,BATTLE GROUND,IN,US,768668,0.9,71.0,-294563.133583,-86.9825,768668           0.9 kW         71. m    281. m        m   N 40 31  20.0  W  86 58  57.0  1030093    VANGUARD ASSOCIATION OF SUNBELT COLLEGES CORPORATION
WSWC,216,91.1,FM,LIC,CHESTERTON,IN,US,767692,0.26,129.0,-284603.866739,-87.049806,767692          0.26 kW        129. m    326. m        m   N 41 38   5.7  W  87  2  59.3  1264863    FAMILY FIRST
WGCS,216,91.1,FM,LIC,GOSHEN,IN,US,24663,6.0,89.0,41.558111,-85.851667,GOSHEN COLLEGE BROADCASTING CORPORATION
WBSH,216,91.1,FM,LIC,AGERSTOWN,IN,US,3648,8.0,66.0,39.941972,-85.194667,UNKNOWN
W216BW,216,91.1,FX,LIC,AMBURG,IN,US,93906,0.01,0.0,38.272,-85.936083,CSN INTERNATIONAL
W216BW,216,91.1,FX,MOD,AMBURG,IN,US,93906,27.0,0.0,-221686.100008,-85.820889,93906           .027 kW       166.9 m    220. m        m   N 38 20   8.5  W  85 49  15.2  1059315    CSN INTERNATIONAL
WYGS,216,91.1,FM,LIC,OPE,IN,US,90693,0.38,100.0,39.226444,-85.746361,"GOOD SHEPHERD RADIO, INC."
WEDM,216,91.1,FM,LIC,INDIANAPOLIS,IN,US,41402,0.18,66.0,39.791417,-85.998028,UNKNOWN
WCYT,216,91.1,FM,LIC,LAFAYETTE TOWNSHIP,IN,US,61430,0.125,69.0,40.980861,-85.279972,UNKNOWN
WCYT,216,91.1,FM,MOD,LAFAYETTE TOWNSHIP,IN,US,61430,2.0,66.0,-227196.833889,-85.277972,61430             2. kW DA      66. m    311. m        m   N 40 58  54.7  W  85 16  40.7  1030882    SOUTHWEST ALLEN COUNTY SCHOOLS
WIRE,216,91.1,FM,LIC,LEBANON,IN,US,87829,3.2,64.0,40.063361,-86.441389,COMMUNITY RADIO PARTNERS
WIRE,216,91.1,FM,LIC,LEBANON,IN,US,87829,0.14,94.0,40.063361,-86.441389,COMMUNITY RADIO PARTNERS
WHMO,216,91.1,FM,LIC,MADISON,IN,US,172366,2.4,119.0,38.666167,-85.280778,UNKNOWN
WVUB,216,91.1,FM,LIC,VINCENNES,IN,US,70241,50.0,152.0,38.651722,-87.476972,VINCENNES UNIVERSITY
W216BB,216,91.1,FX,LIC,WILLIAMSPORT,IN,US,78884,0.019,90.0,40.321417,-87.319167,"PENSACOLA CHRISTIAN COLLEGE, INC."
K216GA,216,91.1,FX,LIC,CHANUTE,KS,US,150677,0.127,0.0,-120552.283369,-95.470806,150677         0.127 kW        20.5 m    309. m        m   N 37 40   0.1  W  95 28  14.9             FAMILY FIRST
KANZ,216,91.1,FM,LIC,GARDEN CITY,KS,US,33372,100.0,0.0,37.778639,-100.895833,"KANZA SOCIETY, INC."
KANZ,216,91.1,FM,LIC,GARDEN CITY,KS,US,33372,1.0,0.0,37.778639,-100.895722,"KANZA SOCIETY, INC."
KCIU-LP,216,91.1,FL,LIC,LAWRENCE,KS,US,126284,0.057,0.0,38.960278,-95.27775,UNKNOWN
K216ED,216,91.1,FX,LIC,PHILLIPSBURG,KS,US,90814,0.222,0.0,-200126.566728,-99.308056,"90814          0.222 kW         46. m   639.8 m        m   N 39 46  21.0  W  99 18  29.0  1299621    THE PRAISE NETWORK, INC."
KADC,216,91.1,FM,MOD,ROSSVILLE,KS,US,768167,1.0,63.0,-271432.783611,-96.049444,"768167            1. kW DA      63. m    408. m        m   N 39  0  22.0  W  96  2  58.0  1032648    RADIO VIDA KANSAS, INC."
KADC,216,91.1,FM,APP,ROSSVILLE,KS,US,768167,1.0,63.0,-274446.783611,-96.049444,"768167            1. kW DA      63. m    408. m        m   N 39  0  22.0  W  96  2  58.0  1032648    RADIO VIDA KANSAS, INC."
KCFN,216,91.1,FM,LIC,WICHITA,KS,US,1692,100.0,148.0,38.019167,-97.383917,AMERICAN FAMILY ASSOCIATION
WKAO,216,91.1,FM,LIC,ASHLAND,KY,US,81315,7.0,108.0,38.419806,-82.401528,"POSITIVE ALTERNATIVE RADIO, INC."
WBFK,216,91.1,FM,LIC,ISEVILLE,KY,US,176881,10.0,44.0,37.108111,-85.848028,UNKNOWN
KLSU,216,91.1,FM,LIC,BATON ROUGE,LA,US,38604,23.0,49.0,30.410444,-91.177028,UNKNOWN
KOJO,216,91.1,FM,LIC,LAKE CHARLES,LA,US,39891,14.0,118.0,30.202139,-92.946528,"RADIO MARIA, INC."
K216EX,216,91.1,FX,LIC,MINDEN,LA,US,93095,0.038,0.0,32.621528,-93.276556,"FAMILY WORSHIP CENTER CHURCH, INC."
KXUL,216,91.1,FM,LIC,MONROE,LA,US,49404,8.5,218.0,32.660667,-91.991222,UNKNOWN
KXUL,216,91.1,FM,MOD,MONROE,LA,US,49404,6.4,259.0,-226035.401778,-91.991111,49404            6.4 kW        259. m    285. m        m   N 32 39  38.0  W  91 59  28.0  1022704    UNIVERSITY OF LOUISIANA
KXUL,216,91.1,FM,LIC,MONROE,LA,US,49404,3.0,0.0,32.527194,-92.072778,UNIVERSITY OF LOUISIANA
WRNV,216,91.1,FM,LIC,NORCO,LA,US,89686,60.0,64.0,-211869.783333,-90.421472,"89686            60. kW DA      64. m     64. m        m   N 29 48  34.5  W  90 25  17.3  1023958    K-LOVE, INC."
WMUA,216,91.1,FM,LIC,AMHERST,MA,US,69184,0.45,39.0,42.393694,-72.522028,UNKNOWN
WMUA,216,91.1,FM,LIC,AMHERST,MA,US,69184,0.11,2.0,42.392028,-72.519806,UNKNOWN
WMUA,216,91.1,FM,LIC,AMHERST,MA,US,69184,0.39,8.0,42.392028,-72.519806,UNKNOWN
WNAN,216,91.1,FM,LIC,NANTUCKET,MA,US,8600,2.3,64.0,41.285111,-70.143639,WGBH EDUCATIONAL FOUNDATION
WJJW,216,91.1,FM,LIC,NORTH ADAMS,MA,US,49102,0.423,-253.0,42.690889,-73.103972,UNKNOWN
WTKL,216,91.1,FM,LIC,NORTH DARTMOUTH,MA,US,69407,1.2,91.0,41.628722,-71.006139,"K-LOVE, INC."
WRWX,216,91.1,FM,LIC,WINCHENDON,MA,US,92287,0.06,0.0,42.702583,-72.037861,"K-LOVE, INC."
WHFC,216,91.1,FM,LIC,BEL AIR,MD,US,26024,1.1,69.0,39.556194,-76.279667,UNKNOWN
W216CM,216,91.1,FX,LIC,FREDERICK,MD,US,9725,0.006,0.0,39.493972,-77.498306,UNKNOWN
WBOR,216,91.1,FM,LIC,BRUNSWICK,ME,US,66276,0.3,47.0,43.905889,-69.963083,UNKNOWN
WUMM,216,91.1,FM,LIC,MACHIAS,ME,US,172503,1.0,23.0,-248900.050278,-67.455861,172503            1. kW         23. m     55. m        m   N 44 42  25.6  W  67 27  21.1  1319114    UNIVERSITY OF MAINE SYSTEM
WBSQ,216,91.1,FM,LIC,MONSON,ME,US,762808,2.7,139.0,-281145.467417,-69.584167,762808           2.7 kW        139. m    514. m        m   N 45 25   1.0  W  69 35   3.0  1020678    MAINE PUBLIC BROADCASTING CORPORATION
WUPI,216,91.1,FM,LIC,PRESQUE ISLE,ME,US,762669,0.5,-11.0,-265059.150139,-68.016111,762669           0.5 kW        -11. m    175. m        m   N 46 40    15  W 068 00    58             UNIVERSITY OF MAINE SYSTEM
WMPF-FM,216,91.1,FM,LIC,RUMFORD,ME,US,767693,0.3,-117.0,-279810.883417,-70.556667,767693           0.3 kW       -117. m    189. m        m   N 44 32    44  W  70 33    24             RIVER VALLEY COMMUNITY ASSOCIATION
DWMPF-LP,216,91.1,FL,LIC,RUMFORD,ME,US,193854,0.1,-125.0,-126619.900028,-70.556667,193854           0.1 kW       -125. m    180. m        m   N 44 32    44  W  70 33    24             RIVER VALLEY COMMUNITY ASSOCIATION
WYTO,216,91.1,FM,LIC,TURNER,ME,US,766537,0.75,-12.0,-268485.616875,-70.257667,766537          0.75 kW        -12. m    124. m        m   N 44 15  28.6  W  70 15  27.6             CALVARY BAPTIST CHURCH OF TURNER
W216BX,216,91.1,FX,LIC,BENTON HARBOR,MI,US,92626,0.038,0.0,42.085306,-86.444472,CSN INTERNATIONAL
WOLW,216,91.1,FM,MOD,CADILLAC,MI,US,49537,50.0,213.0,-268144.630556,-85.713528,49537            50. kW        213. m    576. m        m   N 44 16  33.2  W  85 42  48.7  1031841    NORTHERN CHRISTIAN RADIO
WOLW,216,91.1,FM,LIC,CADILLAC,MI,US,49537,50.0,213.0,44.275833,-85.713667,UNKNOWN
WFUM,216,91.1,FM,LIC,FLINT,MI,US,66306,17.5,149.0,42.899194,-83.461611,REGENTS OF THE UNIVERSITY OF MICHIGAN
WGGL-FM,216,91.1,FM,LIC,OUGHTON,MI,US,42913,100.0,262.0,47.036306,-88.695417,MINNESOTA PUBLIC RADIO
WGGL-FM,216,91.1,FM,STA,OUGHTON,MI,US,42913,100.0,262.0,-262669.244444,-88.695417,42913           100. kW        262. m    564. m        m   N 47  2  10.7  W  88 41  43.5  1007829    MINNESOTA PUBLIC RADIO
WGGL-FM,216,91.1,FM,CP,OUGHTON,MI,US,42913,1.95,0.0,-270731.217208,-88.695278,42913           1.95 kW        184. m   485.9 m        m   N 47  2  11.0  W  88 41  43.0  1007829    MINNESOTA PUBLIC RADIO
W216BF,216,91.1,FX,LIC,MANISTIQUE,MI,US,24693,0.013,126.0,46.109694,-86.236528,"GOSPEL OPPORTUNITIES, INC."
WPCJ,216,91.1,FM,LIC,PITTSFORD,MI,US,52750,0.27,56.0,41.884472,-84.470778,UNKNOWN
KXLC,216,91.1,FM,LIC,LA CRESCENT,MN,US,42918,0.23,257.0,43.804444,-91.372167,MINNESOTA PUBLIC RADIO
KNOW-FM,216,91.1,FM,LIC,MINNEAPOLIS-ST.PAUL,MN,US,42949,27.0,389.0,45.062194,-93.139389,MINNESOTA PUBLIC RADIO
KNOW-FM,216,91.1,FM,LIC,MINNEAPOLIS-ST. PAUL,MN,US,42949,100.0,0.0,45.062194,-93.139389,MINNESOTA PUBLIC RADIO
KNOW-FM,216,91.1,FM,LIC,MINNEAPOLIS-ST. PAUL,MN,US,42949,100.0,0.0,44.957833,-93.206611,MINNESOTA PUBLIC RADIO
KNOW-FM,216,91.1,FM,LIC,MINNEAPOLIS-ST. PAUL,MN,US,42949,24.0,302.0,45.062194,-93.139389,MINNESOTA PUBLIC RADIO
KCCM-FM,216,91.1,FM,LIC,MOORHEAD,MN,US,42926,67.0,201.0,46.759694,-96.607861,MINNESOTA PUBLIC RADIO
KCCM-FM,216,91.1,FM,LIC,MOORHEAD,MN,US,42926,4.0,119.0,46.759694,-96.607861,MINNESOTA PUBLIC RADIO
K216FZ,216,91.1,FX,LIC,REDWOOD FALLS,MN,US,150683,0.115,0.0,44.549694,-94.966944,MINNESOTA PUBLIC RADIO
KOLJ-FM,216,91.1,FM,LIC,WANNASKA,MN,US,175404,75.0,62.0,48.647194,-95.736389,"WE HAVE THIS HOPE CHRISTIAN RADIO, INC."
K216GK,216,91.1,FX,LIC,BROOKFIELD,MO,US,1619,0.25,0.0,39.801694,-93.061583,UNKNOWN
K216GK,216,91.1,FX,STA,BROOKFIELD,MO,US,1619,0.25,0.0,-285208.983403,-93.061583,"1619            0.25 kW        49.2 m    290. m        m   N 39 48   6.1  W  93  3  41.7             CSN INTERNATIONAL, INC."
K216GM,216,91.1,FX,LIC,CANTON,MO,US,143926,0.25,0.0,39.941722,-91.584333,COVENANT NETWORK
KBGM,216,91.1,FM,LIC,PARK HILLS,MO,US,79158,8.0,189.0,37.801139,-90.564278,UNKNOWN
K216GR,216,91.1,FX,LIC,POPLAR BLUFF,MO,US,83027,0.25,73.0,-144878.783403,-90.481944,"83027           0.25 kW         73. m    196. m        m   N 36 45  53.0  W  90 28  55.0  1006756    BIBLE BROADCASTING NETWORK, INC."
KSMU,216,91.1,FM,LIC,SPRINGFIELD,MO,US,4210,40.0,125.0,37.170583,-93.323778,UNKNOWN
KSMU,216,91.1,FM,LIC,SPRINGFIELD,MO,US,4210,4.93,123.0,37.171167,-93.324639,BOARD OF GOVERNORS OF MISSOURI STATE UNIVERSITY
KSJI,216,91.1,FM,LIC,ST. JOSEPH,MO,US,81962,14.0,132.0,39.734167,-94.79025,UNIVERSITY OF NORTHWESTERN - ST. PAUL
KCWP,216,91.1,FM,LIC,WEST PLAINS,MO,US,767758,16.0,87.0,-256476.971111,-91.660167,"767758           16. kW         87. m    350. m        m   N 36 38  17.8  W  91 39  36.6  1240850    COMMUNITY BROADCASTING, INC."
W216BA,216,91.1,FX,LIC,ATTIESBURG,MS,US,84370,0.013,111.0,31.307389,-89.413111,"PENSACOLA CHRISTIAN COLLEGE, INC"
WASM,216,91.1,FM,LIC,NATCHEZ,MS,US,79358,1.0,0.0,31.556833,-91.383444,AMERICAN FAMILY ASSOCIATION
WMSV,216,91.1,FM,LIC,STARKVILLE,MS,US,43173,14.0,139.0,33.432333,-88.750056,MISSISSIPPI STATE UNIVERSITY
K216DS,216,91.1,FX,LIC,BROWNING,MT,US,88250,0.01,124.0,48.706361,-113.099806,UNKNOWN
K216CH,216,91.1,FX,LIC,EMIGRANT,MT,US,18315,0.052,253.0,45.597694,-110.546306,UNKNOWN
K216DC,216,91.1,FX,LIC,FORSYTH,MT,US,43573,0.05,24.0,46.260806,-106.672528,UNKNOWN
KODH-LP,216,91.1,FL,LIC,GARRYOWEN,MT,US,195668,0.1,0.0,45.600861,-107.467639,UNKNOWN
K216GT,216,91.1,FX,LIC,GREAT FALLS,MT,US,20825,0.015,0.0,-164240.083338,-111.355861,"20825          0.015 kW         66. m  1136.9 m        m   N 47 27  51.8  W 111 21  21.1  1265983    LOAM MEDIA, INC."
K216GJ,216,91.1,FX,LIC,ELENA,MT,US,78527,0.022,179.0,46.769639,-112.024417,UNKNOWN
KLEU,216,91.1,FM,LIC,LEWISTOWN,MT,US,92240,4.0,572.0,47.177583,-109.535611,UNKNOWN
KMZL,216,91.1,FM,LIC,MISSOULA,MT,US,78721,2.2,626.0,46.802417,-113.973444,FAITH COMMUNICATIONS CORP.
WZGO,216,91.1,FM,LIC,AURORA,NC,US,77845,40.0,0.0,35.302667,-76.566306,"PATHWAY CHRISTIAN ACADEMY, INC."
WGXM,216,91.1,FM,LIC,CALYPSO,NC,US,173569,2.2,0.0,35.207389,-78.055278,"PATHWAY CHRISTIAN ACADEMY, INC."
WYBH,216,91.1,FM,LIC,FAYETTEVILLE,NC,US,85067,0.255,195.0,35.059889,-78.98975,"BIBLE BROADCASTING NETWORK, INC."
W216BH,216,91.1,FX,LIC,ENDERSON,NC,US,91388,0.055,47.0,36.360694,-78.454417,UNKNOWN
W216BN,216,91.1,FX,LIC,RALEIGH,NC,US,92570,0.01,0.0,35.751528,-78.6,"RADIO TRAINING NETWORK, INC."
WVRP,216,91.1,FM,LIC,ROANOKE RAPIDS,NC,US,85603,2.0,21.0,36.469028,-77.65025,UNKNOWN
WUNW-FM,216,91.1,FM,LIC,WELCOME,NC,US,172306,0.18,54.0,35.88375,-80.201167,"WUNC PUBLIC RADIO, LLC"
K216EE,216,91.1,FX,LIC,MINOT,ND,US,89597,0.25,0.0,48.279167,-101.353333,REAL PRESENCE RADIO
