call_sign,channel,virtual_channel,service_type,status,atsc3,city,state,country,facility_id,erp_kw,directional,haat_m,latitude,longitude,licensee
KTLA,35,5,DTV,Licensed,False,LOS ANGELES,CA,US,35670,1000.0,True,981.0,34.226667,-118.066389,35670        1000. kW DA     981. m  1871.6 m  134.6 m   N 34 13 36.00  W 118 03 59.00  1053804   TRIBUNE MEDIA COMPANY
WFTV,35,9,DTV,STA,False,ORLANDO,FL,US,72076,660.0,True,489.0,28.568944,-81.054333,"72076         660. kW DA     489. m   500.8 m   482. m   N 28 34 08.20  W  81 03 15.60  1214939   WFTV, LLC"
WJTC,35,44,DTV,Licensed,False,PENSACOLA,FL,US,41210,1000.0,True,457.0,30.587972,-87.553528,"41210        1000. kW DA     457. m   490.5 m   449. m   N 30 35 16.70  W  87 33 12.70  1030889   DEERFIELD MEDIA (MOBILE) LICENSEE, LLC"
KHNL,35,13,DTV,Licensed,False,HONOLULU,HI,US,34867,39.0,True,669.5,21.397778,-158.1,"34867          39. kW DA    669.5 m    805. m   49.1 m   N 21 23 52.00  W 158 06 00.00  1007114   GRAY TELEVISION LICENSEE, LLC"
KZAK-LD,35,,LPD,Licensed,False,BOISE,ID,US,6754,15.0,False,1781.8,43.739833,-116.137611,"6754           15. kW           - m  1781.8 m   16.8 m   N 43 44 23.40  W 116 08 15.40            COCOLA BROADCASTING COMPANIES, LLC"
KMTW,35,36,DTV,Licensed,False,HUTCHINSON,KS,US,77063,1000.0,True,310.0,37.939722,-97.511944,"77063        1000. kW DA     310. m    734. m   310. m   N 37 56 23.00  W  97 30 43.00  1030089   MERCURY BROADCASTING COMPANY, INC."
WOLP-CD,35,,DCA,Licensed,False,GRAND RAPIDS,MI,US,167892,14.4,False,424.6,42.687417,-85.509722,167892        14.4 kW           - m   424.6 m  173.7 m   N 42 41 14.70  W  85 30 35.00  1236861   NEXSTAR MEDIA INC.
WMYA-TV,35,40,DTV,Licensed,False,ANDERSON,SC,US,56548,750.0,True,320.0,34.6475,-82.27,"56548         750. kW DA     320. m   555.3 m   312. m   N 34 38 51.00  W  82 16 12.00  1045371   ANDERSON (WFBC-TV) LICENSEE, INC."
KFRE-TV,36,59,DTV,Licensed,False,SANGER,CA,US,59013,360.0,True,607.0,37.076944,-119.434444,"59013         360. kW DA     607. m  1425.9 m   40.8 m   N 37 04 37.00  W 119 26 04.00  1019440   KFRE LICENSEE, LLC"
WCCU,36,27,DTV,Licensed,False,URBANA,IL,US,69544,125.0,False,381.0,40.069444,-87.912778,"69544         125. kW        381. m    585. m  383.5 m   N 40 04 10.00  W  87 54 46.00  1036562   GOCOM MEDIA OF ILLINOIS, LLC"
WODP-LD,36,,DTV,Licensed,False,FORT WAYNE,IN,US,183653,15.0,True,343.5,41.099139,-85.145,183653         15. kW DA        - m   343.5 m   110. m   N 41 05 56.90  W  85 08 42.00  1028214   DTV AMERICA CORPORATION
KASY-TV,36,50,DTV,Licensed,False,ALBUQUERQUE,NM,US,55049,205.0,False,1290.1,35.213833,-106.450917,"55049         205. kW      1290.1 m  3301.6 m   67.1 m   N 35 12 49.80  W 106 27 03.30  1225205   MISSION BROADCASTING, INC."
WRGT-TV,36,45,DTV,Licensed,False,DAYTON,OH,US,411,1000.0,True,351.0,39.724611,-84.254889,"411          1000. kW DA     351. m   615.8 m   343. m   N 39 43 28.60  W  84 15 17.60  1222924   WRGT LICENSEE, LLC"
